norma_superior,id_norma_superior
Constitución Política de la República de Chile,1
"Ley Nº 18.575, Orgánica Constitucional de Bases Generales de la Administración del Estado",2
Código de Aguas,3
"Ley Nº 19.880, de Bases de los Procedimientos Administrativos que Rigen los Actos de los Órganos de la Administración del Estado",4
"D.S. Nº 93 de 1995, del Ministerio Secretaría General de la Presidencia, Reglamento para la Dictación de Normas de Calidad Ambiental y de Emisión",5
ley Nº 19.300 sobre Bases Generales del Medio Ambiente,6
la ley 3.133 sobre Neutralización de los Residuos Provenientes de Establecimientos Industriales,7
"Decreto con Fuerza de Ley Nº 725 de 1968, Código Sanitario",8
"Decreto con Fuerza de Ley Nº 382 de 1988, Ley General de Servicios Sanitarios",9
Decreto con Fuerza de Ley Nº 70 de 1988 sobre Fijación de Tarifas de Servicios de Agua Potable y Alcantarillado,10
"Decreto supremo Nº 351, de 1992 de Obras Públicas, Reglamento para la neutralización y/o depuración de los residuos líquidos provenientes de establecimientos industriales",11
"DS Nº 38, de 2012, del Ministerio del Medio Ambiente, que establece el Reglamento para la Dictación de Normas de Calidad Ambiental y de Emisión",12
"decreto supremo Nº 745 de 1992 de Salud, sobre condiciones sanitarias y ambientales básicas en los lugares de trabajo",13
decreto supremo Nº 1.144 de 1998 de Obras Públicas,14
"Decreto ley Nº 2.222 de 1978 del Ministerio de Defensa Nacional, Ley de Navegación",15
"ley 18.902 que crea la Superintendencia de Servicios Sanitarios, modificada por la ley 19.290",16
"Ley Nº 20.417, Orgánica de la Superintendencia del Medio Ambiente",17
"Ley Nº 18.755, que Establece Normas sobre el Servicio Agrícola y Ganadero",18
"Ley General de Pesca y Acuicultura, Nº 18.892",19
Ley N° 10.336,20
D.S. Nº 30 de 1997 del MINSEGPRES,21
D.S. Nº 90 de 2000 del MINSEGPRES,22
"DS Nº 175 de 1980 del Ministerio de Economía, Fomento y Reconstrucción",23
"DS Nº 99 de 1988 del Ministerio de Economía, Fomento y Reconstrucción",24
"DS Nº 427 de 1989 del Ministerio de Economía, Fomento y Reconstrucción",25
"DS Nº 550 de 1992 del Ministerio de Economía, Fomento y Reconstrucción",26
"DS Nº 290 del Ministerio de Economía, Fomento y Reconstrucción",27
D.S. N° 1 de 1992 del Ministerio de Defensa Nacional,28
"DS Nº 499 de 1994 del Ministerio de Economía, Fomento y Reconstrucción",29
"DS Nº 604 de 1994 del Ministerio de Economía, Fomento y Reconstrucción",30
"Convenio Internacional para Prevenir la Contaminación de las Aguas del Mar de Hidrocarburos, de 195",31
Convenio sobre Prevención de la Contaminación del Mar por Vertimiento de Desechos y Otras Materias,32
Convenio Internacional sobre la Seguridad de la Vida Humana en el Mar,33
Convenio para la Protección del Medio Ambiente y la Zona Costera del Pacífico Sudeste,34
Código Marítimo Internacional de Mercaderías Peligrosas,35
"decreto M.O.P. Nº294, de 1984, que fija el texto actualizado, coordinado y sistematizado de la ley Nº15.840, Orgánica del Ministerio de Obras Públicas;",36
Decreto con Fuerza de Ley N° 292 de 1953 del Ministerio de Hacienda,37
"ley 11.151, de 5 de febrero de 1953",38
Decreto con Fuerza de Ley Nº 237 de 1931,39
"ley Nº 18.778, modificada por las leyes Nº 18.899",40
Ley  Nº 19.059,41
Ley Nº 19.338,42
DS Nº 529 de 1991 del Ministerio de Hacienda,43
"decreto ley Nº 2.763, de 1979",44
"D.F.L. N° 1.123 de 1981, del Ministerio de Justicia",45
"Decreto ley N° 1.172, de 1975, cuyo texto refundido fue fijado por el Decreto con Fuerza de Ley N° 7, de 1983, del Ministerio de Economía, Fomento y Reconstrucción",46
"Decreto con Fuerza de Ley N° 1.122 de 1981, ambos del Ministerio de Justicia",47
"decreto ley 3.549, de 1981",48
"ley 19.799, Sobre Documentos Electrónicos, Firma Electrónica y Servicios de Certificación de dicha firma",49
"DS Nº181 de 2002, del Ministerio de Economía, Fomento y Reconstrucción que Aprueba Reglamento de la Ley 19.799 Sobre Documentos Electrónicos, Firma Electrónica y la Certificación de dicha Firma",50
"DS Nº81 de 2004, del Ministerio Secretaría General de la Presidencia, Sobre Interoperabilidad de Documentos Electrónicos",51
ley 20.285 Sobre Acceso a la información pública,52
Ley	18.899,53
Decreto Supremo 166 de 1999 del Ministerio Secretaría General de la Presidencia,54
Ley	19.849	,55
Decreto con Fuerza de Ley Nº 5 de 1983,56
"Decreto Supremo Nº 430 de 1991 del Ministerio de Economía, Fomento y Reconstrucción",57
Decreto con Fuerza de Ley Nº 340 de 1960 del Ministerio de Defensa,58
Decreto Supremo Nº 660 de 1960 del Ministerio de Defensa,59
Decreto Supremo Nº 476 de 1995 del Ministerio de Defensa,60
Decreto Supremo Nº453 de 1989 del Ministerio de Economía,61
Decreto Supremo Nº144 de 1961 del Ministerio de Salud,62
Decreto con Fuerza de Ley Nº 34 de 1931,63
Decreto con Fuerza de Ley Nº 4 de 2010 del Ministerio Secretaría General de la Presidencia,64
Decreto Supremo Nº 4 de 1992 del Ministerio de Salud,65
Decreto Supremo Nº 1583 de 1992 del Ministerio de Salud,66
Ley Nº 18.681,67
Ley N° 18.591,68
Decreto Supremo Nº 19 de 2001 del Ministerio Secretaría General de la Presidencia,69
Decreto Supremo Nº 1873 de 2017 del Ministerio del Interior y Seguridad Pública,70
Decreto con Fuerza de Ley Nº 850 de 1997 del Ministerio de Obras Públicas,71
Decreto Supremo Nº 104 de 1977 del Ministerio del Interior y Seguridad Pública,72
Decreto Supremo Nº 11 de 1998,73
Decreto Supremo Nº 1.220 de 1997 del Ministerio de Obras Públicas,74
Ley	20.017,75
Ley	20.099,76
Ley	20.411,77
Ley	20.491,78
Decreto con Fuerza de Ley Nº 206 de 1960,79
"Decreto Nº 1.026 de 1969 del Ministerio de Obras Públicas, que reserva aguas subterráneas de la zona de la Concordia, comuna y provincia de Arica, de la XV Región de Arica y Parinacota",80
Decreto Supremo Nº 40 de 2012 del Ministerio de Medio Ambiente,81
"Decreto Ley N° 3.557 de 1980, que establece disposiciones sobre Protección Agrícola",82
Decreto con Fuerza de Ley N° 294 de 1960 del Ministerio de Hacienda,83
"Decreto con Fuerza de Ley N° 7 de 1983 del Ministerio de Economía, Fomento y Reconstrucción",84
Ley	18.450,85
"Decreto Supremo Nº 179 de 1984 del Ministerio de Economía, Fomento y Reconstrucción",86
Decreto Supremo Nº 98 de 2010 del Ministerio de Agricultura,87
,88
,89
,90
,91
,92
,93
,94
,95
,96
,97
,98
,99
,100
,101
,102
,103
,104
,105
,106
,107
,108
,109
,110
,111