ID,Nombre ,Anho_creacion/fecha de promulgación,Año_finalizacion,Agencia_superior,tipo_norma,clase,URL_agencia,URL_ley,,,,,,,,,,,,,,,,,,URL_BCN
1,Servicio Hidrográfico y Oceanográfico de la Armada de Chie,1874,,Ministerio de Defensa,Decreto Supremo 329,Instituto de Investigación del Estado,http://www.shoa.cl/,http://bcn.cl/223xs,,,,,,,,,,,,,,,,,,http://bcn.cl/1uw8p
2,Instituto Geográfico Militar,1922,,Ministerio de Defensa,Decreto 1664 - Ministerio de Guerra ,Instituto de Investigación del Estado,https://www.igm.cl/,http://bcn.cl/21vyf,,,,,,,,,,,,,,,,,,http://bcn.cl/1vygu
3,Corporación de Fomento a la Producción (CORFO),1939,,Ministerio de Economía ,Ley 6.334; Ley 6.640 y DFL Nº 211,Agencia,https://www.corfo.cl,http://bcn.cl/1vap0,,,,,,,,,,,,,,,,,,http://bcn.cl/23p81
4,Servicio de Cooperación Técnica SERCOTEC,1955,,Ministerio de Justicia,Decreto 3483  -   Ministerio de Hacienda,Agencia,http://www.sercotec.cl/,http://bcn.cl/23p81,,,,,,,,,,,,,,,,,,
5,Consejo de Rectores de las Universidades Chilenas CRUCH,1954,,--,Ley 11.575 - Ministerio de Hacienda ,"Organismo colegiado, de derecho público y con personalidad jurídica u organismo de coordinación de la labor universitaria de la nación ",http://www.consejoderectores.cl/,http://bcn.cl/1wduf,,,,,,,,,,,,,,,,,,
6,Instituto Forestal (INFOR),1965,,Ministerio de Agricultura,DS 1416  -  Ministerio de Relaciones Exteriores ,Instituto de Investigación del Estado,http://www.infor.cl/,http://bcn.cl/23o0w,,,,,,,,,,,,,,,,,,http://bcn.cl/23nhg
7,Servicio Aerofotogramétrico de la (FACH),1963,,Ministerio de Defensa,Ley 15.284 - Ministerio de Defensa ,Instituto de Investigación del Estado,https://www.saf.cl/,http://bcn.cl/1w90q,,,,,,,,,,,,,,,,,,
8,Insitituto Antártico Chileno (INARCH),1963,,Ministerio de Relaciones Exteriores,Ley 15.266; decreto 103 (reglamento) -  Ministerio de Relaciones Exteriores ,Instituto de Investigación del Estado,http://www.inach.cl,http://bcn.cl/21vxz,,,,,,,,,,,,,,,,,,http://bcn.cl/1z0qv
9,Centro de Información de Recursos Naturales (CIREN),1964,,Ministerio de Agricultura,DS 1.118  - Ministerio de Hacienda ,Instituto de Investigación del Estado,https://www.ciren.cl/,http://bcn.cl/23vtq,,,,,,,,,,,,,,,,,,http://bcn.cl/1vbx4
10,Instituto de Investigaciones Agropecuarias (INIA),1964,,Ministerio de Agricultura,Decreto 1093  - Ministerio de Justicia,Instituto de Investigación del Estado,http://www.inia.cl/,http://bcn.cl/23o0a,,,,,,,,,,,,,,,,,,http://bcn.cl/1x6ld
11,Comisión Chilena de Energía Nuclear (CChen),1964,,Ministerio  de Economía,Ley 16.319  - Ministerio de Economía,Instituto de Investigación del Estado,http://www.cchen.cl/,http://bcn.cl/2268m,,,,,,,,,,,,,,,,,,http://bcn.cl/21opk
12,Instituto de Fomento Pesquero (IFOP),1964,,Subsecretaría de Pesca, Decreto 1546  - Ministerio de Justicia ,Instituto de Investigación del Estado,https://www.ifop.cl/,http://bcn.cl/23p7u,,,,,,,,,,,,,,,,,,
13,Comisión Nacional de Investigación Científica y Tecnológica (CONICYT),1968,,Ministerio de Educación,"Ley 16,746  - Ministerio de Educación Pública",Agencia,http://www.conicyt.cl/,No funciona Link de ley             https://www.leychile.cl/Consulta/listaresultadosavanzada?stringBusqueda=3%23normal%2316746%7C%7C117%23normal%23on%7C%7C48%23normal%23on&tipoNormaBA=&o=experta,,,,,,,,,,,,,,,,,,
14,Corporación de Investigación Tecnológica (INTEC),1986,,CORFO,Sin información,Sin información,Sin información,Sin información,,,,,,,,,,,,,,,,,,
15,Programa de Cooperación Internacional PCI (ex Departamento de Asuntos Internacionales),2000,,CONICYT,Decreto 491,Programa,http://www.conicyt.cl/pci/sobre-pci/que-es-pci/,--,,,,,,,,,,,,,,,,,,
16,Centro de Investigación Minera y Metalúrgica (CIMM),1970,2013,--,--,--,--,--,,,,,,,,,,,,,,,,,,
17,Instituto Nacional de Normalización,1973,,CORFO,Decreto 678  - Ministerio de Justicia,Instituto de Investigación del Estado,http://www.inn.cl/,http://bcn.cl/23nwr,,,,,,,,,,,,,,,,,,
18,Fondo Nacional de Desarrollo Científico y Tecnológico (FONDECYT),1981,,CONICYT,DFL 33   - Ministerio de Educación Pública ,Programa,http://www.conicyt.cl/fondecyt/,http://bcn.cl/1w6a4,,,,,,,,,,,,,,,,,,http://bcn.cl/1w902
19,Fundación Chile ,1976,,No aplica,Decreto Ley 1528  -  Ministerio del Interior ,Institucionalidad Nacional,https://fch.cl/,http://bcn.cl/1w902,,,,,,,,,,,,,,,,,,
20,Servicio Nacional de Geología y Minería (SERNAGEOMIN),1980,,Ministerio de Minería,Decreto Ley Nº 3525 -  Ministerio de Minería,Instituto de Investigación del Estado,http://www.sernageomin.cl/,http://bcn.cl/1vgf5,,,,,,,,,,,,,,,,,,http://bcn.cl/1y8hu
21,Academia Chilena de Ciencias,1982,,Ministerio de educación,Ley 18.169 - Ministerio de Educación Pública ,??,https://www.academiadeciencias.cl/,http://bcn.cl/23wmw,,,,,,,,,,,,,,,,,,
22,Beca Presidente de la república,1981,,CONICYT,Decreto 1500 - Ministerio del Interior ,Programa,https://www.junaeb.cl/becas-educacion-media/beca-presidente-de-la-republica-postulacion,http://bcn.cl/1y6a6,,,,,,,,,,,,,,,,,,
23,Plan de Ciencia y Tecnología para el Desarrollo,1988,,Ministerio de Educación, Decreto 305 - Ministerio de Educación,Programa,--,http://bcn.cl/23p8o,,,,,,,,,,,,,,,,,,
24,Fondo de Investigación Pesquera y Acuícola (FIPA),1991,,Subsecretaría de Pesca,Ley 19.079  - Ministerio de Economía,Programa,http://www.subpesca.cl/fipa/613/w3-channel.html,http://bcn.cl/1vb7g,,,,,,,,,,,,,,,,,,http://bcn.cl/23o0w
25,Agencia Gubernamental de Cooperación Internacional (AGCI),1990,,Ministerio de Relaciones Exteriores,Ley 18.989   - Ministerio del Interior ,Agencia,https://www.agci.cl/,http://bcn.cl/1uxuz,,,,,,,,,,,,,,,,,,
26,Fondo de Fomento al Desarrollo Científico y Tecnológico FONDEF,1991,,CONICYT,Sin información,Programa,http://www.conicyt.cl/fondef/,Sin información,,,,,,,,,,,,,,,,,,http://bcn.cl/1w90q
27,FONTEC,1991,2005,CORFO ,--,Programa,--,--,,,,,,,,,,,,,,,,,,
28,Red Universitaria Nacional (REUNA),1994,,CRUNCH,Decreto 926 - Ministerio de justicia ,Instituto de Investigación del Estado,http://www.reuna.cl/,http://bcn.cl/23ws2,,,,,,,,,,,,,,,,,,
29,PCT- Plan de Ciencia y Tecnología ,1992,1995,--,--,Programa,--,--,,,,,,,,,,,,,,,,,,
30,Fondo de Desarrollo e Innovación FDI,1995,2005,CORFO ,--,Programa,--,--,,,,,,,,,,,,,,,,,,http://bcn.cl/1w90u
31,Fundación para la Innovación Agraria (FIA) ,1996,,Ministerio de Agricultura,Decreto 1116 - Ministerio de Justicia ,Agencia,http://www.fia.cl/,http://bcn.cl/23va2,,,,,,,,,,,,,,,,,,http://bcn.cl/23o0l
32,Fondo de Financiamiento de Centros de Investigación en Áreas Prioritarias (FONDAP),1996,,CONICYT, Resolución 2516 - Ministerio de Educación Pública,Programa,http://www.conicyt.cl/fondap,http://bcn.cl/23nze,,,,,,,,,,,,,,,,,,http://bcn.cl/23o0a
33,Programa de Innovación Tecnológica ,1996,2000,Ministerio de Economía ,--,Programa,--,--,,,,,,,,,,,,,,,,,,http://bcn.cl/2268m
34,Comisión Presidencial de Nuevas Tecnologías de la Información y Comunicaciones,1999,2000,--,--,--,http://www.guiadigital.gob.cl/sites/default/files/chile_hacia_sociedad_informacion.pdf,--,,,,,,,,,,,,,,,,,,
35,Comisión Nacional para el Desarrollo de la Biotecnología,2002,2003,--,--,--,http://repositorio.conicyt.cl/handle/10533/171498,--,,,,,,,,,,,,,,,,,,
36,Iniciativa Científica Milenio (ICM),1999,,Ministerio de Economía,Decreto 151 - Ministerio de Planificación y Cooperación ,Programa,http://www.iniciativamilenio.cl/,http://bcn.cl/23nzr,,,,,,,,,,,,,,,,,,http://bcn.cl/23nwr
37,Programa Regional CONICYT,2000,,CONICYT,Sin información,Programa,http://www.conicyt.cl/regional/sobre-programa-regional/que-es-el-programa-regional/,Sin información,,,,,,,,,,,,,,,,,,http://bcn.cl/1w2zw
38,Comité Asesor para el desarrollo espacial (ex Agencia Chilena del Espacio),2001,,Ministerio  de Economía,Decreto 338 - Ministerio de Defensa Nacional ,Institucionalidad Nacional,http://espacial.subtel.cl/,http://bcn.cl/23vqj,,,,,,,,,,,,,,,,,,http://bcn.cl/23p7u
39,Programa de Desarrollo e Innovación Tecnológica,1996,2001,Ministerio de Hacienda,Decreto 172,Programa,--,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=411330,,,,,,,,,,,,,,,,,,http://bcn.cl/1vgf5
40,Consejo Regional de Ciencia y Tecnología de la Región del Bío Bío (CORECYT),2003,,--,Resolución 837,Institucionalidad Regional,--,Sin información,,,,,,,,,,,,,,,,,,http://bcn.cl/23nhw
41,Chile Incuba,2004,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,
42,Programa Bicentenario de Ciencia y Tecnología,2004,2008,Ministerio de Hacienda,Decreto 408,Programa,--,--,,,,,,,,,,,,,,,,,,http://bcn.cl/1y6a6
43,Royalty Minerio,2005,,Ministerio de Hacienda ,Ley 20.469    - Ministerio de Hacienda,?,--,http://bcn.cl/1wtid,,,,,,,,,,,,,,,,,,
44,Agencia Chilena para la Inocuidad y Calidad Alimentaria  (ACHIPIA),2005,,Ministerio de Agricultura,Decreto 83 - Ministerio Secretaría General de la Presidencia ,Agencia,http://www.achipia.cl/,http://bcn.cl/1z0qv,,,,,,,,,,,,,,,,,,
45,Consejo Nacional de Innovación para el desarrollo (CNID),2005,,Ministerio de Economía ,Decreto 1408 (2005); Decreto 1517 (2009); Decreto 177 (2015)         -   Ministerio de Hacienda,Institucionalidad Nacional,http://www.cnid.cl/,http://bcn.cl/23sf6,,,,,,,,,,,,,,,,,,
46,Innova Chile (ex FONTEC),2005,,CORFO,Acuerdo de Consejo 2.330,Programa,--,--,,,,,,,,,,,,,,,,,,
47,Agencias Regionales de Desarrollo Productivo,2006,,Corporación de Fomento de la Producción,Resolución 194,Institucionalidad Regional,--,--,,,,,,,,,,,,,,,,,,http://bcn.cl/23nze
48,Programa de Financiamiento Basal para Centros Científicos y Tecnológicos de Excelencia,2006,,Ministerio de Educación,Decreto 276,Programa,http://www.conicyt.cl/pia/sobre-pia/lineas-accion/centros-cientificos-y-tecnologicos-de-excelencia-programa-de-financiamiento-basal/,(*) Ley de Presupuesto 2007,,,,,,,,,,,,,,,,,,
49,Programa Astronomía,2006,,CONICYT,Sin información,Programa,http://www.conicyt.cl/astronomia ,Sin información,,,,,,,,,,,,,,,,,,http://bcn.cl/23nzr
50,Agencia de Sustentabilidad y Cambio Climático (ex Consejo de la producción limpia),2007,,CORFO ,Resolución 303  - CORFO,Institucionalidad Nacional,http://www.agenciasustentabilidad.cl/,http://bcn.cl/1vxyi,,,,,,,,,,,,,,,,,,
51,Programa de Clusters,2007,,,,Programa,,,,,,,,,,,,,,,,,,,,http://bcn.cl/23osc
52,Ley de Incentivo Tributario I+D,2008,,CORFO ,Ley 20241 -  Ministerio de Hacienda ,Fondo de Financiamiento,https://www.corfo.cl/sites/cpp/movil/ley_id,http://bcn.cl/1vbx4,,,,,,,,,,,,,,,,,,http://bcn.cl/23os9
53,Instituto Nacional de Propiedad Industrial (INAPI),2008,,Ministerio de Economía ,Ley 20254  - Ministerio de Economía,Instituto de Investigación del Estado,https://www.inapi.cl/,http://bcn.cl/1w2zw,,,,,,,,,,,,,,,,,,http://bcn.cl/23p27
54,Becas Chile,2008,,Ministerio de Educación,Decreto 664  -  Ministerio de Educación,Programa,http://www.becaschile.cl/,http://bcn.cl/1wd4h,,,,,,,,,,,,,,,,,,
55,Fondo para la investigación Ley Bosque Nativo (CONAF),2008,,Ministerio de Agricultura,Ley 20.283   -  Ministerio de Agricultura,Programa,http://www.investigacion.conaf.cl/,http://bcn.cl/1uvy9,,,,,,,,,,,,,,,,,,
56,FIC-R,2009,,SUBDERE,Decreto 68; Resolución Nº 277/2011 y Nº02/2016 de SUBDERE,Fondo de Financiamiento,--,http://bcn.cl/1x6ld,,,,,,,,,,,,,,,,,,
57,Programa de Investigación Asociativa (PIA),2009,,CONICYT,Resolución Exenta de CONICYT Nº 793,Programa,http://www.conicyt.cl/pia/,Sin información,,,,,,,,,,,,,,,,,,http://bcn.cl/23tu8
58,Programa de Atracción e Inserción de Capital Humano Avanzado (PAI),2009,,CONICYT,Sin información,Programa,http://www.conicyt.cl/pai/,Sin información,,,,,,,,,,,,,,,,,,
59,Programa de Atracción de Centros de Excelencia Internacional (CEI),2009,,Sin información,Sin información,Programa,Sin información,Sin información,,,,,,,,,,,,,,,,,,
60,Startup Chile ,2010,,CORFO ,Sin información,Programa,http://www.startupchile.org/es,Sin información,,,,,,,,,,,,,,,,,,
61, Fondo de Equipamiento Científico y Tecnológico (FONDEQUIP),2011,,CONICYT,Decreto 171 - Ministerio de Educación,Programa,http://www.conicyt.cl/fondequip/,http://bcn.cl/23tu8,,,,,,,,,,,,,,,,,,
62,Fondo de Inversión Estratégica (FIE),2014,,Ministerio de Economía,Resolución 199 - Ministerio de Economía,Fondo de Financiamiento,http://www.fie.cl/,http://bcn.cl/21opk,,,,,,,,,,,,,,,,,,http://bcn.cl/1wd4h
63,Comisión Nacional de Productividad,2014,,Subsecretaría de Economía,Decreto 270- Ministerio de Economía,Institucionalidad Nacional,http://www.comisiondeproductividad.cl/,http://bcn.cl/1zijp,,,,,,,,,,,,,,,,,,http://bcn.cl/23tv7
64,Polos Territoriales - FIA,2016,,FIE; Ministerio de Agricultura,FIE 2016,Programa,--,Sin información,,,,,,,,,,,,,,,,,,
65,Comité de Ministros para el Desarrollo Digital ,2016,,Ministerio de Secretaría General de la Presidencia,Decreto 1 - Ministerio Secretaría General de la Presidencia,????,--,http://bcn.cl/1v54g,,,,,,,,,,,,,,,,,,
66,Fondo de Innovación para la Competitividad (FIC),2006,,Ministerio de Economía,Decreto 349 - Ministerio de Economía,Fondo de Financiamiento,--,http://bcn.cl/23x3l,,,,,,,,,,,,,,,,,,
67,Programa de Información Científica,--,,CONICYT,--,Programa,http://www.conicyt.cl/informacioncientifica/,--,,,,,,,,,,,,,,,,,,
68,Fondo Nacional de Investigación y Desarrollo en Salud (FONIS),2004,,CONICYT- Ministerio de Salud,--,Programa,http://www.conicyt.cl/fonis/,--,,,,,,,,,,,,,,,,,,http://bcn.cl/23p8o
69,Programa Explora,1995,,CONICYT,--,Programa,http://www.conicyt.cl/explora/,--,,,,,,,,,,,,,,,,,,http://bcn.cl/1uw2z
70,Consorcios Tecnológicos Empresariales de Investigación ,2004,,"CONICYT, CORFO, FIA",--,Instrumento,http://www.conicyt.cl/pia/sobre-pia/lineas-accion/consorcios-tecnologicos-empresariales-de-investigacion/,--,,,,,,,,,,,,,,,,,,http://bcn.cl/23crw
71,Programa Genoma Chile,2001,2010 (*),CONICYT,--,Programa,http://www.conicyt.cl/fondef/lineas-de-programa/instrumentos-pasados/genoma-chile/,--,,,,,,,,,,,,,,,,,,
72,Programa Clusters,2006,2010,CORFO,--,Programa,--,--,,,,,,,,,,,,,,,,,,
73,Programas Transforma,2014,,CORFO,--,Programa,http://www.chiletransforma.cl/,--,,,,,,,,,,,,,,,,,,